trans_num,trans_date_trans_time,cc_num,amt,merchant_lat,merchant_long,category,is_fraud,fist_name,last_name,gender,city,state,job,dob,hour,day,month,day_of_week,is_weekend,is_night,age,age_group,home_lat,home_long,distance_km,distance_km_log,log_amt,trans_count,avg_amount,trans_count_1h,amt_ratio,top_5_percent,dist_bin,category_encoded,gender_encoded
e094b65c9d7f095b27289ba6ffab454d,2020-08-23 12:07:44,30570197515105,1.79,31.086,-85.7192,personal_care,0,Vincent,Cain,M,Hartford,AL,Jewellery designer,1945-12-07,12,23,8,6,1,0,81,65+,32.87297494349315,-86.81247245890411,223.86132415729267,5.415483875111945,1.0260415958332743,229,80.1340174672489,1.0,0.022337579676840493,0,100-500km,10,1
441860e2134b80f5e9e8cf6a5f632b7e,2020-09-01 22:04:21,342952484382519,6.66,42.0158,-73.2913,shopping_pos,0,Kayla,Jones,F,East Canaan,CT,Comptroller,1987-09-26,22,1,9,1,0,0,39,36-45,41.6160193197026,-72.69606765799257,66.40310181853037,4.21069103790577,2.0360119837525,1292,55.347337461300306,2.0,0.1203309916155727,0,20-100km,12,0
a20cc4a434dc7ca814816881fa9e9c5e,2020-11-24 23:52:47,4736845434667908128,46.8,44.8816,-73.6408,personal_care,0,Toni,Gomez,F,Altona,NY,"Surveyor, land/geomatics",1953-05-23,23,24,11,1,0,0,73,65+,42.427090773234205,-75.24457019826518,301.87386279565044,5.713316424431004,3.86702563949741,891,56.62860830527497,1.0,0.826437403294627,0,100-500km,10,0
4d505d2900c973d7e903d8988483640e,2020-12-09 14:56:48,4155021259183870,6.72,34.7032,-98.9591,shopping_pos,0,Renee,Parrish,F,Mountain Park,OK,Research scientist (life sciences),1983-10-12,14,9,12,2,0,0,43,36-45,35.44671726870748,-97.0322923112245,193.85174942889182,5.272239010081041,2.0438143640366846,893,63.936864501679736,1.0,0.1051036839603458,0,100-500km,12,0
fa09a7205d5494cb4fce04782b2c3649,2020-06-28 08:43:17,3559723917628303,101.08,42.4048,-88.3054,shopping_net,0,Matthew,Huerta,M,Ringwood,IL,Outdoor activities/education manager,1985-05-13,8,28,6,6,1,0,41,36-45,40.256524168861354,-89.07708718822619,247.4115770846359,5.515086955594186,4.6257568195964796,446,86.91430493273542,1.0,1.1629846212108315,0,100-500km,11,1
4ced594cfb2d8f6d1e5f49814ca3a0ff,2020-12-06 22:25:08,4170689372027579,314.64,35.6665,-97.4798,misc_pos,0,Samuel,Frey,M,Edmond,OK,Media buyer,1993-05-10,22,6,12,6,1,0,33,26-35,35.44671726870748,-97.0322923112245,47.28699134486409,3.8771621940485224,5.7546023236528345,1090,61.31516513761468,2.0,5.131520061861164,1,20-100km,9,1
df057436a72b1d80d4a02eae0c7378cb,2020-11-13 08:53:30,4449530933957323,111.35,38.2427,-122.9145,grocery_pos,0,Felicia,Mckee,F,Tomales,CA,Occupational psychologist,1954-07-05,8,13,11,4,0,0,72,65+,36.91284240555556,-120.15670243164251,284.46236799055407,5.654110209517016,4.721618998631338,882,64.188231292517,1.0,1.7347416770616184,0,100-500km,4,0
a86038ff66423f00ccbb36be6d1dd6fa,2020-10-23 02:57:12,60423098130,8.57,36.9412,-98.2458,misc_net,0,Jason,Gray,M,Amorita,OK,Barrister's clerk,1958-07-28,2,23,10,4,0,1,68,65+,35.44671726870748,-97.0322923112245,198.67543128134912,5.29669320471773,2.258633205464863,228,54.613684210526316,1.0,0.15692037854403176,0,100-500km,8,1
559c4f48f65d2ab8247c2c069bbef41a,2020-07-16 16:14:41,6011348830550197,44.36,33.4629,-86.7904,home,0,Samuel,Johnston,M,Birmingham,AL,Musician,1980-07-12,16,16,7,3,0,0,46,46-55,32.87297494349315,-86.81247245890411,65.62883727100588,4.199137475889478,3.8146306594194965,1088,62.191443014705875,1.0,0.7132814073715988,0,20-100km,6,1
2a96266efe6a8a274191ebad8f6d295d,2020-11-19 05:56:07,4800395067176717,101.41,41.6964,-96.9858,misc_net,0,Daniel,Owens,M,Howells,NE,Research scientist (maths),1928-04-02,5,19,11,3,0,0,98,65+,41.20412053875236,-98.40025178449906,129.97264747297803,4.8749885034836336,4.628984364087346,642,66.49482866043614,2.0,1.5250810031839075,0,100-500km,8,1
81457be363c0fc4151ae937ae6b1361c,2020-11-22 22:13:11,4260128500325,181.0,37.2409,-82.7696,misc_pos,0,Whitney,Gallagher,F,Deane,KY,"Conservation officer, historic buildings",1997-08-04,22,22,11,6,1,0,29,26-35,37.52955333748443,-84.75923860647572,178.69161641473102,5.191242139472119,5.204006687076795,733,73.72547066848567,1.0,2.455053841756881,0,100-500km,9,0
24e3180d5f8476554a8ef02ebf6e7e72,2020-07-26 09:15:51,3558652751678952,37.15,32.6205,-94.2,misc_pos,0,Teresa,Blankenship,F,Karnack,TX,Chiropodist,1931-01-26,9,26,7,6,1,0,95,65+,31.344505143243243,-97.79874390405406,367.85466262669263,5.910402698233721,3.641525757730466,666,65.03142642642642,1.0,0.5712622656682736,0,100-500km,9,0
6f5f5d32f7f7821d361856f0641cbef8,2020-12-16 19:16:41,2235613922823698,38.14,42.73,-104.7024,personal_care,0,Melissa,Mcclure,F,Manville,WY,Educational psychologist,1980-12-16,19,16,12,2,0,0,46,46-55,42.950540267045454,-107.41196013636363,222.2680050743907,5.408372866333884,3.66714496196793,921,59.009413680781755,1.0,0.6463375522814502,0,100-500km,10,0
0443c3231e9272db7f5fe7887b0a05ce,2020-07-14 17:11:11,30371006069917,113.53,38.138,-89.2231,kids_pets,0,Robert,James,M,Tamaroa,IL,"Development worker, community",1961-01-31,17,14,7,1,0,0,65,56-65,40.256524168861354,-89.07708718822619,235.90481600316082,5.4676584402242945,4.740836797409625,451,61.834035476718405,1.0,1.8360438409805233,0,100-500km,7,1
d039518c191786c80ec6f6744f2fee8d,2020-12-15 01:18:08,3531129874770000,28.38,43.8065,-73.0882,misc_net,0,Shelby,Mitchell,F,Brandon,VT,"Scientist, marine",1975-07-13,1,15,12,1,0,1,51,46-55,44.02667042708333,-72.63742581597222,43.62390001259253,3.798269590218239,3.380314170745731,1117,83.86790510295434,1.0,0.3383892797269868,0,20-100km,8,0
722b9cf12bca5d10efef853dfd09458b,2020-07-02 08:34:15,347073228412010,112.33,44.6873,-104.4414,shopping_net,0,Ryan,Johnson,M,Alva,WY,"Administrator, local government",1973-05-16,8,2,7,3,0,0,53,46-55,42.950540267045454,-107.41196013636363,306.71422852324054,5.729171522803382,4.730303916744857,414,90.35722222222222,1.0,1.2431767736699397,0,100-500km,11,1
